Date,Machine,Item Description,6-Digit Part Number,Stock Number (DB),Status,Quantity
3/2/2025,CMS 1,Plow Clamp Cylinder,400531,DB5004680,Replaced,1
3/2/2025,CMS 1,Tender Down cylinder,400541,DB5000577,Replaced,1
3/2/2025,CMS 1,Wishbone paddle bushing,-,DB5006476,Needed,2
3/2/2025,CMS 1,Wing cut lower linkage,-,DB50005328,Needed,4
3/2/2025,CMS 2,Tender Down cylinder,400541,DB5000577,Replaced,1
3/2/2025,CMS 2,Wishbone paddle bushing,-,DB5006476,Needed,2
3/2/2025,CMS 2,Wing cut lower linkage,-,DB50005328,Needed,4
3/2/2025,CMS 3,Plow clamp cylinder,400531,DB5004680,Replaced,1
3/2/2025,CMS 3,RH Plow Down cylinder,400554,DB5003019,Replaced,1
3/2/2025,CMS 3,Wishbone paddle bushing,-,DB5006476,Needed,2
3/2/2025,CMS 3,Wing cut lower linkage,-,DB50005328,Needed,4
3/2/2025,CMS 4,Roller clamp cylinder,400531,DB5004680,Replaced,1
3/2/2025,CMS 4,Plow clamp cylinder,400531,DB5004680,Replaced,1
3/2/2025,CMS 4,Tender Down cylinder,400541,DB5000577,Replaced,1
3/2/2025,CMS 4,Wishbone paddle bushing,-,DB5006476,Needed,2
3/2/2025,CMS 4,Wing cut lower linkage,-,DB5005328,Needed,4
3/2/2025,BOX MACHINES,fx206 outer bearing on Vacuum drive lower gear,210401,-,Replaced,1
3/2/2025,BOX MACHINES,vac drive lower gear Inner bearing with snap ring,382385,-,Replaced,1
2/23/2025,CMS 1,Roller Clamp Cylinder,400531,DB5004680,Needed,1
2/23/2025,CMS 1,Wishbone paddle bushing,-,DB5006476,Needed,2
2/23/2025,CMS 1,Wing cut lower linkage,-,DB50005328,Needed,4
2/23/2025,CMS 2,RH Scapula down,400535,DB500534,Replaced,1
2/23/2025,CMS 2,Plow clamp cylinder,400531,DB5004680,Replaced,1
2/23/2025,CMS 2,Tender Down cylinder,400541,DB5000577,Needed,1
2/23/2025,CMS 2,Wishbone paddle bushing,-,DB5006476,Needed,2
2/23/2025,CMS 2,Wing cut lower linkage,-,DB50005328,Needed,4
2/23/2025,CMS 3,LH Scapula down,400535,DB500534,Replaced,1
2/23/2025,CMS 3,Plow clamp cylinder,400531,DB5004680,Needed,1
2/23/2025,CMS 3,Tender Down cylinder,400541,DB5000577,Needed,1
2/23/2025,CMS 3,Wishbone paddle bushing,-,DB5006476,Needed,2
2/23/2025,CMS 3,Wing cut lower linkage,-,DB50005328,Needed,4
2/23/2025,CMS 4,LH Wing inner flex shaft,400526,-,Replaced,1
2/23/2025,CMS 4,LH Tender outer housing,400528,-,Replaced,1
2/23/2025,CMS 4,LH Tender arbor bearings,211011,-,Replaced,2
2/23/2025,CMS 4,LH Wing arbor bearings,211011,-,Replaced,2
2/23/2025,CMS 4,Tender down cylinder,400541,DB5000577,Needed,1
2/23/2025,CMS 4,Plow clamp cylinder,400531,DB5004680,Needed,1
2/23/2025,CMS 4,Wishbone paddle bushing,-,DB5006476,Needed,2
2/23/2025,CMS 4,Wing cut lower linkage,-,DB50005328,Needed,4
